"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Carlosruizite","Carlosruizite","K<sub>3</sub>Na<sub>2</sub>Na<sub>3</sub>Mg<sub>5</sub>(IO<sub>3</sub>)<sub>6</sub>(SeO<sub>4</sub>)<sub>6</sub>·6H<sub>2</sub>O","K Na Mg I O Se H","1993","Approved"," ","hexagonal","K Na Mg I^5+ O Se^6+ H","Crz"
"Carlosturanite","Carlosturanite","(Mg,Fe<sup>2+</sup>,Ti)<sub>21</sub>(Si,Al)<sub>12</sub>O<sub>28</sub>(OH)<sub>34</sub>·H<sub>2</sub>O","Mg Fe Ti Si Al O H","1984","Approved"," ","unknown|monoclinic","Mg Fe^2+ Ti^4+ Si Al O H","Csr"
"Carlsbergite","Carlsbergite","CrN","Cr N","1971","Approved","Rocksalt","cubic","Cr^3+ N^3-","Cbg"
"Carlsonite","Carlsonite","(NH<sub>4</sub>)<sub>5</sub>Fe<sup>3+</sup><sub>3</sub>O(SO<sub>4</sub>)<sub>6</sub>·7H<sub>2</sub>O","N H Fe O S","2014","Approved","Metavoltine","triclinic","N^3- H Fe^3+ O S^6+","Csn"
"Carmeltazite","Carmeltazite","ZrAl<sub>2</sub>Ti<sub>4</sub>O<sub>11</sub>","Zr Al Ti O","2018","Approved","Not in a structural group","orthorhombic","Zr^4+ Al Ti^3+ O","Ctz"
"Carmichaelite","Carmichaelite","(Ti,Cr,Fe)(O,OH)<sub>2</sub>","Ti Cr Fe O H","1996","Approved"," ","monoclinic","Ti^4+ Cr^3+ Fe^3+ O H","Cmh"
"Carminite","Carminite","PbFe<sup>3+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>","Pb Fe As O H","1850","Approved,Grandfathered","Carminite","orthorhombic","Pb^2+ Fe^3+ As^5+ O H","Cmt"
"Carnallite","Carnallite","KMgCl<sub>3</sub>·6H<sub>2</sub>O","K Mg Cl H O","1856","Approved,Grandfathered","Carnallite","orthorhombic","K Mg Cl H O","Cna"
"Carnotite","Carnotite","K<sub>2</sub>(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>·3H<sub>2</sub>O","K U O V H","1899","Approved,Grandfathered"," ","monoclinic|amorphous","K U^6+ O V^5+ H","Cnt"
"Carobbiite","Carobbiite","KF","K F","1956","Approved,Grandfathered","Rocksalt","cubic","K F","Crb"
"Carpathite","Carpathite","C<sub>24</sub>H<sub>12</sub>","C H","1955","Approved"," ","monoclinic","C H","Cpa"
"Carpholite","Carpholite","Mn<sup>2+</sup>Al<sub>2</sub>Si<sub>2</sub>O<sub>6</sub>(OH)<sub>4</sub>","Mn Al Si O H","1817","Approved,Grandfathered","Carpholite","orthorhombic","Mn^2+ Al Si O H","Car"
"Carraraite","Carraraite","Ca<sub>3</sub>Ge(SO<sub>4</sub>)(CO<sub>3</sub>)(OH)<sub>6</sub>·12H<sub>2</sub>O","Ca Ge S O C H","1998","Approved","Ettringite","hexagonal","Ca Ge S^6+ O C H","Cra"
"Carrboydite","Carrboydite","(Ni<sub>1-x</sub>Al<sub>x</sub>)(SO<sub>4</sub>)<sub>x/2</sub>(OH)<sub>2</sub>·nH<sub>2</sub>O (x < 0.5, n > 3x/2)","Ni Al S O H","1974","Approved,Questionable mineral species","Woodwardite, Hydrotalcite","hexagonal","Ni^2+ Al S^6+ O H","Cby"
"Carrollite","Carrollite","CuCo<sub>2</sub>S<sub>4</sub>","Cu Co S","1852","Approved,Grandfathered","Spinel","cubic","Cu^1+ Co^3+ S","Cli"
"Caryinite","Caryinite","NaCaCaMn<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>","Na Ca Mn As O","1874","Approved","Alluaudite","monoclinic","Na Ca Mn^2+ As^5+ O","Cyn"
"Caryochroite","Caryochroite","(Na,Sr)<sub>3</sub>(Fe<sup>3+</sup>,Mg)<sub>10</sub>Ti<sub>2</sub>Si<sub>12</sub>O<sub>37</sub>(H<sub>2</sub>O,O,OH)<sub>17</sub>","Na Sr Fe Mg Ti Si O H","2005","Approved"," ","monoclinic|unknown","Na Sr Fe^3+ Mg Ti^4+ Si O H","Cyh"
"Caryopilite","Caryopilite","Mn<sup>2+</sup><sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>","Mn Si O H","1889","Approved","Serpentine, Clay","monoclinic|unknown","Mn^2+ Si O H","Cpl"
"Cascandite","Cascandite","CaScSi<sub>3</sub>O<sub>8</sub>(OH)","Ca Sc Si O H","1980","Approved","Pectolite","triclinic","Ca Sc Si O H","Cas"
"Caseyite","Caseyite","[(V<sup>5+</sup>O<sub>2</sub>)Al<sub>7.5</sub>(OH)<sub>15</sub>(H<sub>2</sub>O)<sub>13</sub>]<sub>2</sub>[H<sub>2</sub>V<sup>4+</sup>V<sup>5+</sup><sub>9</sub>O<sub>28</sub>][V<sup>5+</sup><sub>10</sub>O<sub>28</sub>]<sub>2</sub>·90H<sub>2</sub>O","V O Al H","2019","Approved","Pascoite","monoclinic","V^5+ O Al H V^4+","Csy"
"Cassagnaite","Cassagnaite","Ca<sub>4</sub>Fe<sup>3+</sup><sub>4</sub>V<sup>3+</sup><sub>2</sub>(OH)<sub>6</sub>O<sub>2</sub>(Si<sub>3</sub>O<sub>10</sub>)(SiO<sub>4</sub>)<sub>2</sub>","Ca Fe V O H Si","2006","Approved","Ardennite","orthorhombic","Ca Fe^3+ V^3+ O H Si","Csg"
"Cassedanneite","Cassedanneite","Pb<sub>5</sub>(VO<sub>4</sub>)<sub>2</sub>(CrO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O","Pb V O Cr H","1984","Approved"," ","monoclinic","Pb^2+ V^5+ O Cr^6+ H","Cda"
